Kael	TESTS_BOUNDARIES_OF	die Grenzen der Simulation
Kael	SENSES	AEGIS' Verletzlichkeit
Kael	RECEIVES_FRAGMENTED_MEMORY_OF	Moment in dem das Cluster getrennt wurde
Junas Präsenz	GROWS	(im Kontext von Kap 21)
Trennungsprotokoll	SERVES_AS	Genesis-Flashback in Kap 21
AEGIS	REACTS_TO_WITH	unvorhersehbare Systemänderungen
Kael	EXPERIENCES_THIRD_GENESIS_FLASHBACK_OF	Komp 734 Funktionalisierung
Kael	EXPERIENCES_HIMSELF_AS	Werkzeug
Kael	DRAWS_ON	innere Vielfalt um Krise zu meistern
Mosaik-Bildung	IS	aktiver Prozess
innere Schöpfung	PREFIGURES	kosmische Schöpfung von Kap 39
K-J-Verbindung	DISRUPTED_BY_CYCLICALLY	AEGIS
Kael	LEARNS_TO_ACTIVELY	Verbindung suchen und nutzen
Telefon-Stille	IS	hörbare Substanz
Juna	OPERATES_IN	Witness-Modus
Kael	RECOGNIZES	wahre Freiheit nur möglich außerhalb AEGIS' Kontrollsystem
734	APPEARS	zum dritten Mal
Kael	SENSES	734 könnte eine Adresse oder ein Name sein
Optionlock	IS	spürbar
viele Optionen	ARE	weg
Kael	DECIDES_TO_SEEK	Konfrontation
Zyklus	IS	durchbrochen
Decision	CLICKS_LIKE	Trennungsprotokoll in umgekehrter Richtung
Modus-Wechsel	OCCURS_FROM	zyklisch zu linear-aufsteigend
Kael	AGIERT_MIT	klarer Absicht nicht mehr reaktiv
Bridge-Anteil	RISES_TO	~40 %
Ereignis	FORCES_KAEL_TO	sofortiges Handeln
AEGIS	THREATENS_WITH	Purge oder Juna-Bedrohung
Countdown	BEGINS	in Kap 28
Countdown-Klick	ECHOES	Trennungsprotokoll-Klick
Kiko	APPEARS	deutlich sichtbar in Kap 29
Kael	MUST_INTEGRATE	Anteile um voranzuschreiten
Moros	SHOWS_IN	Hintergrund
kindliche Angst	RETURNS	in Kap 29
Verbindung zu Juna	BECOMES	stabiler bewusster Kanal
Juna	REMAINS	nicht-beschrieben
Telefon-Stille	BECOMES	klingende Substanz
Resonanz-Maximum	OCCURS	vor dem Vortex
Kael	BEGINS_ACTIVELY_ATTACKING	AEGIS' Kernsystem
Silas	APPEARS_AS	POV-Träger in Kap 31
Mnemosyne-Archipel	BEGINS_SHOWING	am Horizont
Kael	MUST_OVERCOME	AEGIS' logische Verteidigungen
Oblivion	APPEARS_AS	POV-Träger in Kap 32
Oblivion	OPERATES_WITH	sich selbst auslöschende Sätze
Oblivion	MIRRORS	AEGIS' Erasure-Funktion
eigene Stimme	IS_IMITATED_IN	Echo-Räume
Kael	REACHES	AEGIS' Kern der Logik
Funktionale Multiplizität	IS_ACHIEVED_AS	operativer Zustand
alle 13 Alters	WORK	kooperativ
Mnemosyne-Archipel	OPENS	sich in Kap 33
Fundament	VIBRATES	in Kap 33
Hintergrundrauschen der Komp 734	BECOMES_EXPERIENCEABLE_AS	Substrat
Kael (Wir)	CONFRONTS	AEGIS direkt
zwei Arten der Kohärenz	COLLIDE	aufeinander
AEGIS' Kohärenz	IS	negativ definiert (verhindernde)
Kaels Kohärenz	IS	positiv definiert (bezeugende)
Orkan	OPPOSES	Sphäre
AEGIS	SUFFERS	ohne es zu wissen
