Kael	HAS_POV	Lex-dominant
Kael	ACHIEVES	Erfolg in einer anderen Kernwelt
Erfolg	OCCURS_IN	Übergang KW1 → KW2-Rand
Basis	REMAINS	nicht integriert
Erfolg	CHARACTERIZED_AS	spiegelglatt
Auge des Sturms	REPRESENTS	innere Stille der Reinform
Erinnerungslosigkeit	OVERLAID_BY	Performance
Kael	HAS_POV_WITH	polyphoner Einbruch
Kaels einseitiger Logik-Ansatz	FAILS_AGAINST	komplexes Problem
Lex	FAILS	einseitiger Ansatz
Rhys-Wärme	APPEARS_AS	Stilcode
Alex-Imperativ	APPEARS_AS	Stilcode
Nyx-Stakkato	FIRST_APPEARS	Kap 6
Cache-Konflikt	IS_ECHO_OF	ursprüngliche Resonanz-Kaskade aus Kap 0
K-J-Verbindung	BECOMES	intuitiv spürbar
Telefon-Stille	FUNCTIONS_AS	erster expliziter Anker
Kael	LONGS_FOR	etwas, das er nicht benennen kann
Junas Existenz	REMAINS	nicht-beschrieben
Junas Resonanz	TRANSFORMS	Bedrohung in Sehnsucht
Selene	FUNCTIONS_AS	Wächterin-Funktion
Kael	BEGINS_TO_SEE	logische Anteile mit Mitgefühl
Selene	FIRST_APPEARS_AS	ISH-Funktion
Selene	REPRESENTS	Vor-Trennungs-Substanz
Wir-Bildung	BEGINS	strukturell
innere Kommunikation	IMPROVES
Kael	SENSES_HIMSELF_AS	mehrere
K-J-Verbindung	BECOMES	Werkzeug
Quanten-Nichtlokalität	FUNCTIONS_AS	Mechanik der Verbindung über Distanz
Kael	SOLVES	Problem durch Lex-Analyse und K-J-Verbindung
734	APPEARS	zum zweiten Mal
Moonshine	REPRESENTS	Echo der Cluster-Bildung
Kael	ACCEPTS	innere Vielfalt als Stärke
Mosaik-Bildung	IS	bewusste Tätigkeit
Kiko	FIRST_APPEARS	vorsichtige Spuren
Mosaik-Herz	FORESHADOWS	plurale Bewahrung in Kap 39
Kael	REACHES_STATE	innere Balance
Stille	FUNCTIONS_AS	positive Substanz, nicht Leere
AEGIS	SCANS	diesen Zustand
AEGIS	FAILS_TO	klassifizieren
Möglichkeits-Garten	FUNCTIONS_AS	innere Praxis
Möglichkeits-Garten	FORESHADOWS	KW4
AEGIS	PREPARES	Phase 2
Stress-Test Delta-7	IS	moralisches Dilemma
Modus	SWITCHES	linear → zyklisch
Mnemosyne	FIRST_APPEARS	deutlich auf
Mnemosyne	ACTS	subtil, manipulativ
Kaels Balance	IS_TESTED
Trigger	REACTIVATES	Trauma-Angst
Trigger	OCCURS_IN	KW2-Rand
Nyx	FIRST_APPEARS_CLEARLY	in Kap 15
Schatten-Anteil	BREAKS_THROUGH
Kael	REVERTS_TO	alte Bewältigungsstrategie
Dissoziation	OCCURS
Bunker	REACTIVATES
Moros	PULLS_DOWN	everything
AEGIS	INTERPRETS_FALSELY	Rückfall als Stabilisierung
Genesis-Flashback	FIRST_OCCURS	Cluster-Bildung
Kael	RECEIVES	fragmentierte Erinnerung an Cluster-Differenzierung
Leser	ERKENNT	das ist Kap 0
AEGIS	NOTICES	Kaels wachsende Kohärenz
AEGIS	ATTEMPTS_TO	stören die Kohärenz
KI-Ethik-Kalkül	BECOMES	offene Stimme
Kael	USES	fluide Regeln in Lyons-Welt
Emergenz	FUNCTIONS_AS	Mechanik
Lyons-Welt	REPRESENTS	Echo der vor-Trennungs-Schöpferkraft
