Kap 0	HAS_TITLE	Genesis-Prolog	L211
Kap 0	HAS_KISH_TENKETSU	Ki (Setup)	L213
Kap 0	HAS_MODUS	außerhalb	L213
Kap 0	HAS_POV	fluide Skalierung Funken-Ich ↔ AEGIS-Beschreibung, direkte Adressierung des Lesers	L213
Kap 0	HAS_STORYFORM	nur B aktiv, A als Phantom-Latenz	L213
Kap 0	HAS_BRIDGE	spezifisch (B's MC-Throughline in Reinform)	L213
Kap 0	HAS_STORYPOINT_AKZENT_B	MC-S1 (B) Past — Genesis-Trauma als entstehende Vergangenheit · OS-S1 (B) Doing — Trennungsprotokoll als exekutierte Action, Komp 734 als Funktionalisierung · R	L217
Kap 0	HAS_STORYPOINT_AKZENT_A_LATENT	IC-S1 (A) Past — Junas Resonanz als Genesis-Krisen-Auslöser · MC-A latent: das Cluster, das Komp 734 wird, ist Kaels werdende Substanz	L221
Kap 0	HAS_GENESIS_SEQUENZ	Das Rauschen → Herz der Leere → Erste Kontakte → Sog der Ordnung → Überlebenskampf → Der große Wandel (Formel: „AEGIS ist, was AEGIS verhindert, dass es nicht i	L230
Kap 0	HAS_DIE_KRISE	Stille Wacht → Perturbation aus der Leere → Algorithmischer Schrecken → Resonanzkaskade → Systemischer Kollaps → Trennungsprotokoll	L232
Kap 0	HAS_SCHLUSS	„Ich falle… in unzählige Scherben…" — schließt nahtlos an Kap 1 an	L233
Kap 0	HAS_CHARACTER	AEGIS	L237
Kap 0	HAS_CHARACTER	Juna	L237
Kap 0	HAS_CHARACTER	Komp 734	L237
Kap 0	HAS_SENSORIK	Rauschen, Form, Klick, Phantom, Resonanz — alle fünf Motive werden hier eingeführt als Erstereignisse.	L241
Kap 0	HAS_GENESIS_ECHO	Hier ist die Quelle, kein Echo.	L241
Kap 0	HAS_TONALE_ACHSE	Schmerz und Liebe als denselben Pulsschlag, in seiner ursprünglichen ungetrennten Form.	L241
Kap 1	HAS_TITLE	Erwachen in der Konstrukt-Stadt	L247
Kap 1	HAS_HR_STUFE_1	Illusion der perfekten Welt — Ordnung als Käfig	L249
Kap 1	HAS_MODUS	linear-introspektiv	L249
Kap 1	HAS_POV	Kael (Host)	L249
Kap 1	HAS_STORYFORM	A dominant, B latent als Umgebung	L249
Kap 1	HAS_BRIDGE	Default	L249
Kap 1	HAS_A	MC-S1 (A) Memory — Erinnerungslosigkeit als Etablierungs-Status	L253
Kap 1	HAS_B_LATENT	OS-Physics — AEGIS-Architektur als Umgebungs-Log	L253
Kap 1	HAS_PLOT_BEATS	Kael erwacht in Kernwelt 1 (KW1 — Logos-Prime), fragmentiert ohne Erinnerung. Lebt als Komp 734 in Wohneinheit 14/Sektor 7. Going on with normal life: Arbeit, R	L257
Kap 1	HAS_CHARACTER	Kael	L261
Kap 1	HAS_SENSORIK	sterile Leere, Ozon, weißes Licht, 21°C	L265
